town,traffic,weather,start,target,route_completion,lights_ran,duration,distance
Town01,0,8,19,28,100.0,1,11.55,9.9080232341934
Town01,0,8,19,28,100.0,1,11.6,1.6403515395034445
Town01,0,8,19,28,100.0,1,10.15,-3.395727168917727
Town01,0,8,19,28,100.0,1,10.45,-1.920539878671823
Town01,0,8,19,28,100.0,1,11.7,2.35444133530064
Town01,0,8,19,28,100.0,1,10.9,-0.9955903722651687
Town01,0,8,19,28,100.0,1,11.7,2.3189136072418917
Town01,0,8,19,28,100.0,1,11.35,1.6896058083511853
Town01,0,8,19,28,100.0,1,10.7,-2.710853136400545
Town01,0,8,19,28,100.0,1,11.35,1.617302915629078
Town01,0,8,19,28,100.0,1,10.8,-0.7946872970856695
Town01,0,8,19,28,100.0,1,11.75,9.34423956230842
Town01,0,8,19,28,100.0,1,11.1,-0.593141193841641
Town01,0,8,19,28,100.0,1,11.6,1.6633184093756626
Town01,0,8,19,28,100.0,1,10.35,-3.2335682016236396
Town01,0,8,19,28,100.0,1,11.3,-1.550512201334409
Town01,0,8,19,28,100.0,1,11.5,-0.1955397980048135
Town01,0,8,19,28,100.0,1,12.6,-1.435484823201983
Town01,0,8,19,28,100.0,1,11.35,1.097254991471281
Town01,0,8,19,28,100.0,1,11.95,2.564380760951506
Town01,0,8,19,28,100.0,1,11.65,1.542311704672949
Town01,0,8,19,28,100.0,1,11.1,0.550232012578614
Town01,0,8,19,28,100.0,1,11.25,-1.0367614820282753
Town01,0,8,19,28,100.0,1,11.75,1.604737789852444
Town01,0,8,19,28,100.0,1,12.25,-1.7538733123434531
Town01,0,8,19,28,100.0,1,11.9,-2.258067778220208
Town01,0,8,19,28,100.0,1,11.75,1.8555279780448162
Town01,0,8,19,28,100.0,1,11.75,-0.5670065544487317
Town01,0,8,19,28,100.0,1,11.75,1.85109548203401
Town01,0,8,19,28,100.0,1,11.55,2.631772867283778
Town01,0,8,19,28,100.0,1,10.8,-2.510197356935508
Town01,0,8,19,28,100.0,1,12.05,2.828432335256239
Town01,0,8,19,28,100.0,1,10.95,-0.6393093986787384
Town01,0,8,19,28,100.0,1,11.75,2.472771514950483
Town01,0,8,19,28,100.0,1,11.3,0.8812273571785458
Town01,0,8,19,28,100.0,1,11.85,2.4921408954011053
Town01,0,8,19,28,100.0,1,9.85,-2.683864187666593
Town01,0,8,19,28,100.0,1,11.05,0.6958455934792034
Town01,0,8,19,28,100.0,1,11.8,2.0175223681324734
Town01,0,8,19,28,100.0,1,11.45,0.8647932984762918
Town01,0,8,19,28,100.0,1,11.7,1.6265770996890847
Town01,0,8,19,28,100.0,1,12.05,2.0825302642387564
Town01,0,8,19,28,100.0,1,11.7,2.100119986649416
Town01,0,8,19,28,100.0,1,11.8,2.8871834540979275
Town01,0,8,19,28,100.0,1,11.75,1.1141883360961584
Town01,0,8,19,28,100.0,1,10.9,-1.6447475368081304
Town01,0,8,19,28,100.0,1,11.15,-1.6189442717078524
Town01,0,8,19,28,100.0,1,11.85,2.061949377239264
Town01,0,8,19,28,100.0,1,11.75,8.913084993862636
Town01,0,8,19,28,100.0,1,11.05,-2.5566837085423777
Town01,0,8,19,28,100.0,1,10.55,-2.867342752175728
Town01,0,8,19,28,100.0,1,11.3,-1.730528278188028
Town01,0,8,19,28,100.0,1,11.85,1.7370906009335334
Town01,0,8,19,28,100.0,1,11.65,1.301579990021116
Town01,0,8,19,28,100.0,1,11.65,1.4327529326830328
Town01,0,8,19,28,100.0,1,11.15,-1.838894599833239
Town01,0,8,19,28,100.0,1,11.1,3.030381955989861
Town01,0,8,19,28,100.0,1,10.9,-2.9275324158971534
Town01,0,8,19,28,100.0,1,11.75,2.2978827812930085
Town01,0,8,19,28,100.0,1,12.0,1.9063844789958626
Town01,0,8,19,28,100.0,1,11.05,1.2876579671797157
Town01,0,8,19,28,100.0,1,11.5,3.438056045945155
Town01,0,8,19,28,100.0,1,11.75,1.830132351936948
Town01,0,8,19,28,100.0,1,10.55,-1.8407789800214707
Town01,0,8,19,28,100.0,1,11.6,2.837775560660549
Town01,0,8,19,28,100.0,1,11.8,2.143517481881381
Town01,0,8,19,28,100.0,1,11.75,1.9374974216388337
Town01,0,8,19,28,100.0,1,11.7,1.4513036258675167
Town01,0,8,19,28,100.0,1,10.95,-2.8410582336874666
Town01,0,8,19,28,100.0,1,11.6,1.8765693937694774
Town01,0,8,19,28,100.0,1,11.8,2.359997685290894
Town01,0,8,19,28,100.0,1,12.0,2.0259364974517418
Town01,0,8,19,28,100.0,1,10.9,2.8401710461045315
Town01,0,8,19,28,100.0,1,11.5,-0.8237540212991883
Town01,0,8,19,28,100.0,1,10.35,-2.0402302368989456
Town01,0,8,19,28,100.0,1,11.0,0.6026069389468942
Town01,0,8,19,28,100.0,1,11.35,1.1354674157511968
Town01,0,8,19,28,100.0,1,11.8,1.537163990754666
Town01,0,8,19,28,100.0,1,11.9,2.5301946415745853
Town01,0,8,19,28,100.0,1,11.0,-2.897223241241582
Town01,0,8,19,28,100.0,1,11.65,1.328868168901455
Town01,0,8,19,28,100.0,1,11.65,-0.6675896089333228
Town01,0,8,19,28,100.0,1,12.0,1.8871296444241938
Town01,0,8,19,28,100.0,1,11.7,1.8578876174036596
Town01,0,8,19,28,100.0,1,11.9,3.498192463844086
Town01,0,8,19,28,100.0,1,11.95,2.1334904682557454
Town01,0,8,19,28,100.0,1,11.5,0.489153173159417
Town01,0,8,19,28,100.0,1,11.2,-1.5872142964918659
Town01,0,8,19,28,100.0,1,11.6,-1.1233897714321517
Town01,0,8,19,28,100.0,1,11.8,1.759985677736041
Town01,0,8,19,28,100.0,1,11.05,-0.45248334898756654
Town01,0,8,19,28,100.0,1,11.8,2.434911803952743
Town01,0,8,19,28,100.0,1,10.8,2.1037173932696174
Town01,0,8,19,28,100.0,1,11.05,7.097500664456073
Town01,0,8,19,28,100.0,1,11.5,1.5017586110798122
Town01,0,8,19,28,100.0,1,11.85,1.3001903576057687
Town01,0,8,19,28,100.0,1,11.45,3.7183991629590727
Town01,0,8,19,28,100.0,1,11.6,1.4601989173403451
Town01,0,8,19,28,100.0,1,11.75,2.5270776982841916
