max_rpm,dampRateFullT,dampRateZero_CE,dampRateZero_CD,gearSwitchTime,clutchStrength,mass,dragCoeff,tireFric,dampRate,radius,maxBrakeTorque,SaftyDegree,TET,TIT,dece,JerkViolation,JerkExceededArea,avgJerk
5838.9774,0.1532,1.1851,0.3754,0.5132,9.7049,2652.3804,0.2681,2.0706,0.2611,31.7077,1209.3219,1.514747569,0.89,0.9,3.878,0.55,17.28327,25.15038
5849.9925,0.1516,1.1861,0.2335,0.581,9.6243,2666.2129,0.2679,1.9963,0.2616,31.7077,1209.2742,1.465633328,0.846,0.85,4.671,0.4,17.57294,26.70973
5849.5231,0.1516,1.1861,0.2335,0.581,9.6243,2666.2129,0.2679,1.9963,0.2623,31.7211,1210.7412,1.722591393,1.059,0.95,3.902,0.45,7.40177,11.14943
5838.9426,0.1605,1.1861,0.2399,0.5132,9.7062,2666.4325,0.275,2.0512,0.261,31.7078,1204.6282,1.460918974,0.874,0.9,4.174,0.55,17.04369,24.8459
5849.9925,0.1516,1.1861,0.2332,0.581,9.623,2667.1069,0.268,1.9963,0.2536,31.7077,1209.2742,1.21432288,1.055,0.95,3.983,0.45,7.03655,10.69714
5837.6193,0.1613,1.1861,0.247,0.5401,9.7006,2693.825,0.2752,2.0814,0.2648,31.7082,1209.2771,1.334169043,1.059,0.95,3.927,0.5,8.77868,12.28236
5849.5338,0.1516,1.1861,0.2335,0.581,9.6243,2666.2129,0.2679,1.9963,0.2617,31.7211,1210.7412,1.717435979,0.708,0.75,3.847,0.4,5.98664,11.14591
5849.9817,0.1516,1.1861,0.2335,0.581,9.6244,2666.2129,0.2679,1.9963,0.2623,31.7077,1209.2742,2.377517823,0.722,0.8,4.047,0.55,17.84322,27.63406
5837.4423,0.1586,1.186,0.2489,0.5813,8.9682,2672.1685,0.2703,2.0631,0.2463,31.7055,1210.7188,0.77369899,1.139,1,3.69,0.5,8.30355,11.69657
5838.6528,0.1613,1.2088,0.367,0.5395,9.6247,2682.6294,0.2847,2.0814,0.2623,31.7082,1210.7613,1.374945283,0.815,0.8,4.68,0.3,6.13239,10.03102
5842.8956,0.1529,1.1858,0.2343,0.5723,9.0495,2652.1393,0.2703,2.0737,0.247,31.7077,1209.2578,1.491951607,0.924,0.9,4.146,0.4,5.69497,9.51175
5837.4423,0.1586,1.1861,0.2465,0.5813,8.9682,2672.1685,0.2703,2.0631,0.2463,31.7055,1210.7743,1.859434787,0.731,0.8,3.743,0.5,15.8908,26.55438
5846.5437,0.1536,1.1857,0.2331,0.5737,9.0773,2674.159,0.2756,2.0743,0.2679,31.7276,1210.5003,1.622627339,0.806,0.85,3.989,0.6,16.01507,23.52572
5837.6193,0.1613,1.1861,0.247,0.5401,9.7006,2693.825,0.2752,2.0814,0.2648,31.7082,1202.4802,1.535351984,0.777,0.8,3.705,0.4,6.39064,11.059
5837.4941,0.1584,1.1852,0.2471,0.5493,9.6863,2666.8394,0.2756,2.07,0.2539,31.7116,1228.4126,1.667744605,0.97,0.9,4.582,0.45,9.25286,14.24772
5837.6193,0.161,1.1861,0.2465,0.5496,9.4763,2666.6992,0.2756,2.0813,0.2622,31.724,1228.3204,2.095745516,0.733,0.8,4.208,0.4,18.30866,30.02951
5849.9925,0.1564,1.1861,0.2335,0.581,9.6243,2666.5582,0.2679,1.9963,0.2616,31.7077,1209.2742,1.672867995,1.056,0.95,3.88,0.45,7.40257,11.14852
5751.1649,0.1529,1.1858,0.2343,0.5723,9.0224,2679.6039,0.2703,2.0737,0.247,31.7077,1209.2578,3.706862005,0.808,0.85,3.696,0.55,14.87638,23.53712
5839.5658,0.147,1.1861,0.3639,0.4762,9.4441,2651.8051,0.2679,2.0886,0.2621,31.7138,1227.4525,-2.313565449,0,0,4.065,0.5,4.95825,7.80248
5845.6651,0.1613,1.1861,0.2469,0.5716,9.2478,2695.7291,0.2752,2.0814,0.2702,31.7057,1210.5957,1.782445354,0.735,0.8,3.83,0.55,15.99517,24.98608
5838.9774,0.159,1.1851,0.3754,0.5154,9.7062,2652.3903,0.2681,2.0706,0.2617,31.7077,1209.3219,1.737876491,0.747,0.8,4.373,0.5,18.0046,27.68415
5838.9426,0.1538,1.1861,0.2399,0.515,9.7062,2666.4142,0.2674,2.0504,0.2631,31.7078,1211.0819,1.813565501,0.736,0.8,4.422,0.45,16.03287,26.57802
5838.9917,0.1588,1.1861,0.247,0.5099,9.6975,2666.3708,0.2674,2.0504,0.2622,31.7078,1212.0758,1.862501031,0.808,0.85,3.8,0.6,17.74467,25.83291
5838.9426,0.1538,1.1861,0.2399,0.515,9.7062,2666.4142,0.2674,2.0504,0.2631,31.7078,1204.6282,2.253873683,0.572,0.7,4.709,0.3,9.2036,18.2841
5838.9426,0.1529,1.1861,0.2331,0.515,9.7062,2692.9047,0.2672,2.0504,0.2631,31.7066,1209.4495,1.355378588,0.894,0.9,3.777,0.65,15.86213,22.02686
5818.5029,0.1603,1.1861,0.3715,0.5154,9.6249,2651.8956,0.2844,2.0739,0.2616,31.7158,1210.7874,0.88577672,1.064,0.95,3.715,0.55,10.99072,14.94371
5837.6193,0.1537,1.1861,0.3444,0.5145,9.4766,2664.9541,0.2828,2.0814,0.2623,31.7219,1210.749,0.831110487,1.077,0.95,3.84,0.5,7.38118,11.16602
5837.6193,0.1537,1.1861,0.3388,0.5145,9.4766,2666.2255,0.2823,2.0827,0.2623,31.7215,1210.749,1.364078577,0.87,0.85,3.997,0.4,6.42447,11.0619
5838.0886,0.1543,1.1861,0.3444,0.5145,9.4767,2664.9541,0.2828,2.0814,0.2684,31.7086,1211.4313,1.238714761,0.969,0.9,3.957,0.5,9.32048,13.62794
5818.5029,0.1538,1.1861,0.3715,0.5072,9.6249,2637.8124,0.2844,2.0739,0.261,31.7158,1210.7874,1.318454811,0.962,0.95,3.964,0.75,16.03288,22.5613
5837.4264,0.1588,1.186,0.2469,0.5801,8.9682,2672.1685,0.2703,2.0626,0.2469,31.7055,1210.7188,3.788357747,0.781,0.8,3.925,0.35,5.00468,9.52502
5838.6486,0.1662,1.186,0.2469,0.5801,9.0787,2672.1685,0.2703,2.0627,0.2603,31.7055,1210.739,1.132710912,1.028,0.95,3.873,0.45,7.41354,11.16704
5837.4264,0.1518,1.186,0.247,0.581,8.9682,2672.1685,0.2679,2.0626,0.2469,31.7055,1210.7188,1.106076808,1.053,0.95,3.907,0.45,7.34532,11.08309
5846.5437,0.154,1.1856,0.2331,0.5737,8.987,2675.0821,0.2756,2.0738,0.2678,31.7352,1209.4568,1.53095218,0.862,0.9,4.029,0.55,16.29685,23.85615
5837.6193,0.1613,1.1861,0.2467,0.5401,9.623,2682.9263,0.2753,2.0814,0.2622,31.7082,1209.2771,1.627588735,0.761,0.8,4.339,0.45,19.59071,29.76592
5837.6193,0.1613,1.1861,0.254,0.5401,9.8985,2682.9263,0.2753,2.0814,0.2623,31.7082,1209.2676,1.269580379,0.931,0.9,4.206,0.55,10.73685,15.48494
5837.4941,0.1588,1.1852,0.2471,0.5493,9.6863,2666.8394,0.2756,2.07,0.254,31.7116,1228.4126,2.097820998,0.586,0.7,3.767,0.5,21.17606,37.46548
5837.6205,0.1612,1.1861,0.2465,0.5496,9.4763,2663.8349,0.2756,2.0814,0.2623,31.7115,1228.3204,1.912220898,0.691,0.75,4.429,0.4,18.51881,30.20383
5837.6205,0.1612,1.1861,0.2465,0.5496,9.4475,2663.8349,0.2756,2.0814,0.2623,31.7115,1228.3204,1.404320874,0.88,0.9,3.981,0.65,17.14115,25.19583
5819.9713,0.1516,1.1861,0.2335,0.581,9.6281,2666.2129,0.2736,1.9951,0.2616,31.7077,1209.2742,0.873719407,1.081,0.95,3.989,0.45,7.13148,10.811
5842.8956,0.1538,1.1858,0.2331,0.5723,9.1053,2639.4602,0.2703,2.0737,0.262,31.7055,1210.5438,1.432687609,0.844,0.85,4.048,0.4,7.01637,11.94187
5837.0724,0.1537,1.1861,0.3388,0.5114,9.4859,2666.2255,0.2755,2.0827,0.2623,31.7215,1210.7556,1.373460584,0.878,0.85,4.031,0.5,7.07874,11.4759
5846.5437,0.1536,1.1857,0.2331,0.5737,9.0773,2637.9358,0.2756,2.0743,0.2709,31.7349,1210.5017,1.236637019,0.98,0.9,4.108,0.5,8.77713,12.96103
5846.5437,0.1536,1.1857,0.234,0.572,9.0773,2637.9358,0.2756,2.0737,0.2712,31.7339,1210.5365,1.212661449,0.982,0.9,3.988,0.5,7.64659,11.5342
5838.6466,0.1606,1.1851,0.3754,0.5132,9.7049,2652.3804,0.2682,2.0701,0.261,31.7082,1210.5334,0.981847869,1.134,1,4.001,0.5,8.90925,12.4564
5846.5437,0.1536,1.1857,0.234,0.572,9.0773,2637.9695,0.2756,2.0737,0.2713,31.7339,1210.5362,0.656083889,1.182,1,4.045,0.55,11.33115,15.37926
5838.6419,0.1613,1.2096,0.3667,0.5191,9.8934,2682.9394,0.2835,2.0235,0.2623,31.7082,1210.7558,1.492542765,0.822,0.85,3.703,0.65,14.86194,23.76224
5837.6193,0.1612,1.1861,0.2465,0.5401,9.4763,2664.9541,0.2751,2.0814,0.2623,31.7082,1209.011,3.232562728,0.738,0.8,4.567,0.35,16.63382,27.1515
5819.3438,0.1516,1.1861,0.2592,0.581,9.9249,2664.8859,0.2679,1.9951,0.2616,31.7077,1209.0058,2.520358385,0.724,0.8,4.385,0.4,16.40909,26.9642
5838.871,0.154,1.1861,0.3707,0.5382,9.4446,2672.5457,0.2681,2.0878,0.2664,31.7221,1210.5671,0.82253263,1.081,0.95,3.827,0.55,9.3881,13.02857
5750.5159,0.1427,1.0047,0.2321,0.5365,9.9723,2389.97,0.2742,1.3622,0.2332,36.8079,1252.5098,1.482720977,0.774,0.8,4.559,0.45,15.04703,23.30812
5747.8806,0.1416,1.0032,0.2378,0.5824,10.2546,2464.0207,0.2742,1.4426,0.2698,36.6865,1241.2793,1.808262003,0.651,0.7,4.983,0.3,8.02874,14.86669
5747.8735,0.1426,1.0112,0.2294,0.5824,10.3227,2388.137,0.2742,1.4274,0.268,36.8068,1251.988,1.632180765,0.781,0.8,4.362,0.45,19.06976,29.04707
5669.4716,0.1388,1.0215,0.2217,0.5512,10.18,2424.1389,0.2652,1.4432,0.2682,36.9107,1241.0257,1.508494163,0.759,0.8,4.325,0.45,16.8935,25.92684
5747.7855,0.1427,1.0047,0.2321,0.5357,9.9723,2387.8327,0.2742,1.3622,0.2329,36.8079,1252.5098,2.309412146,0.692,0.75,4.481,0.5,13.6087,23.0611
5677.6832,0.1415,1.0215,0.2217,0.5512,10.18,2424.1389,0.2652,1.4432,0.2682,36.9107,1226.5341,2.789846852,0.829,0.85,4.18,0.5,16.02472,23.20892
5748.3692,0.1399,1.0044,0.2378,0.5824,10.2396,2459.8121,0.2765,1.4461,0.2685,36.6794,1243.7925,3.267026996,0.793,0.8,4.638,0.4,11.56514,18.15383
